"Control Index","Assessment Objective Index","CMMC Level","CMMC Domain Abbreviation","CMMC Domain","Control ID","Control Name","Assessment Objective","Assessment Objective Description"
"1","1","2","AC","Access Control","AC.L2-3.1.1","Authorized Access Control [CUI Data]","a","authorized users are identified;"
"","2","","","","","","b","processes acting on behalf of authorized users are identified;"
"","3","","","","","","c","devices (and other systems) authorized to connect to the system are identified;"
"","4","","","","","","d","system access is limited to authorized users;"
"","5","","","","","","e","system access is limited to processes acting on behalf of authorized users; and"
"","6","","","","","","f","system access is limited to authorized devices (including other systems)."
"2","7","2","AC","Access Control","AC.L2-3.1.2","Transaction & Function Control","a","the types of transactions and functions that authorized users are permitted to execute are defined; and"
"","8","","","","","","b","system access is limited to the defined types of transactions and functions for authorized users."
"3","9","2","AC","Access Control","AC.L2-3.1.3","Control CUI Flow","a","information flow control policies are defined;"
"","10","","","","","","b","methods and enforcement mechanisms for controlling the flow of CUI are defined;"
"","11","","","","","","c","designated sources and destinations (e.g., networks, individuals, and devices) for CUI within the system and between interconnected systems are identified;"
"","12","","","","","","d","authorizations for controlling the flow of CUI are defined; and"
"","13","","","","","","e","approved authorizations for controlling the flow of CUI are enforced."
"4","14","2","AC","Access Control","AC.L2-3.1.4","Separation of Duties","a","the duties of individuals requiring separation are defined;"
"","15","","","","","","b","responsibilities for duties that require separation are assigned to separate individuals; and"
"","16","","","","","","c","access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals."
"5","17","2","AC","Access Control","AC.L2-3.1.5","Least Privilege","a","privileged accounts are identified;"
"","18","","","","","","b","access to privileged accounts is authorized in accordance with the principle of least privilege;"
"","19","","","","","","c","security functions are identified; and"
"","20","","","","","","d","access to security functions is authorized in accordance with the principle of least privilege."
"6","21","2","AC","Access Control","AC.L2-3.1.6","Non-Privileged Account Use","a","nonsecurity functions are identified; and"
"","22","","","","","","b","users are required to use non-privileged accounts or roles when accessing nonsecurity functions."
"7","23","2","AC","Access Control","AC.L2-3.1.7","Privileged Functions","a","privileged functions are defined;"
"","24","","","","","","b","non-privileged users are defined;"
"","25","","","","","","c","non-privileged users are prevented from executing privileged functions; and"
"","26","","","","","","d","the execution of privileged functions is captured in audit logs."
"8","27","2","AC","Access Control","AC.L2-3.1.8","Unsuccessful Logon Attempts","a","the means of limiting unsuccessful logon attempts is defined; and"
"","28","","","","","","b","the defined means of limiting unsuccessful logon attempts is implemented."
"9","29","2","AC","Access Control","AC.L2-3.1.9","Privacy & Security Notices","a","privacy and security notices required by CUI-specified rules are identified, consistent, and associated with the specific CUI category; and"
"","30","","","","","","b","privacy and security notices are displayed."
"10","31","2","AC","Access Control","AC.L2-3.1.10","Session Lock","a","the period of inactivity after which the system initiates a session lock is defined;"
"","32","","","","","","b","access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity; and"
"","33","","","","","","c","previously visible information is concealed via a pattern-hiding display after the defined period of inactivity."
"11","34","2","AC","Access Control","AC.L2-3.1.11","Session Termination","a","conditions requiring a user session to terminate are defined; and"
"","35","","","","","","b","a user session is automatically terminated after any of the defined conditions occur."
"12","36","2","AC","Access Control","AC.L2-3.1.12","Control Remote Access","a","remote access sessions are permitted;"
"","37","","","","","","b","the types of permitted remote access are identified;"
"","38","","","","","","c","remote access sessions are controlled; and"
"","39","","","","","","d","remote access sessions are monitored."
"13","40","2","AC","Access Control","AC.L2-3.1.13","Remote Access Confidentiality","a","cryptographic mechanisms to protect the confidentiality of remote access sessions are identified; and"
"","41","","","","","","b","cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented."
"14","42","2","AC","Access Control","AC.L2-3.1.14","Remote Access Routing","a","managed access control points are identified and implemented; and"
"","43","","","","","","b","remote access is routed through managed network access control points."
"15","44","2","AC","Access Control","AC.L2-3.1.15","Privileged Remote Access","a","privileged commands authorized for remote execution are identified;"
"","45","","","","","","b","security-relevant information authorized to be accessed remotely is identified;"
"","46","","","","","","c","the execution of the identified privileged commands via remote access is authorized; and"
"","47","","","","","","d","access to the identified security-relevant information via remote access is authorized."
"16","48","2","AC","Access Control","AC.L2-3.1.16","Wireless Access Authorization","a","wireless access points are identified; and"
"","49","","","","","","b","wireless access is authorized prior to allowing such connections."
"17","50","2","AC","Access Control","AC.L2-3.1.17","Wireless Access Protection","a","wireless access to the system is protected using authentication; and"
"","51","","","","","","b","wireless access to the system is protected using encryption."
"18","52","2","AC","Access Control","AC.L2-3.1.18","Mobile Device Connection","a","mobile devices that process, store, or transmit CUI are identified;"
"","53","","","","","","b","mobile device connections are authorized; and"
"","54","","","","","","c","mobile device connections are monitored and logged."
"19","55","2","AC","Access Control","AC.L2-3.1.19","Encrypt CUI on Mobile","a","mobile devices and mobile computing platforms that process, store, or transmit CUI are identified; and"
"","56","","","","","","b","encryption is employed to protect CUI on identified mobile devices and mobile computing platforms."
"20","57","2","AC","Access Control","AC.L2-3.1.20","External Connections [CUI Data]","a","connections to external systems are identified;"
"","58","","","","","","b","the use of external systems is identified;"
"","59","","","","","","c","connections to external systems are verified;"
"","60","","","","","","d","the use of external systems is verified;"
"","61","","","","","","e","connections to external systems are controlled/limited; and"
"","62","","","","","","f","the use of external systems is controlled/limited."
"21","63","2","AC","Access Control","AC.L2-3.1.21","Portable Storage Use","a","the use of portable storage devices containing CUI on external systems is identified and documented;"
"","64","","","","","","b","limits on the use of portable storage devices containing CUI on external systems are defined; and"
"","65","","","","","","c","the use of portable storage devices containing CUI on external systems is limited as defined."
"22","66","2","AC","Access Control","AC.L2-3.1.22","Control Public Information [CUI Data]","a","individuals authorized to post or process information on publicly accessible systems are identified;"
"","67","","","","","","b","procedures to ensure CUI is not posted or processed on publicly accessible systems are identified;"
"","68","","","","","","c","a review process is in place prior to posting of any content to publicly accessible systems;"
"","69","","","","","","d","content on publicly accessible systems is reviewed to ensure that it does not include CUI; and"
"","70","","","","","","e","mechanisms are in place to remove and address improper posting of CUI."
"23","71","2","AT","AWARENESS AND TRAINING","AT.L2-3.2.1","Role-Based Risk Awareness","a","security risks associated with organizational activities involving CUI are identified;"
"","72","","","","","","b","policies, standards, and procedures related to the security of the system are identified;"
"","73","","","","","","c","managers, systems administrators, and users of the system are made aware of the security risks associated with their activities; and"
"","74","","","","","","d","managers, systems administrators, and users of the system are made aware of the applicable policies, standards, and procedures related to the security of the system."
"24","75","2","AT","Awareness and Training","AT.L2-3.2.2","Role-Based Training","a","information security-related duties, roles, and responsibilities are defined;"
"","76","","","","","","b","information security-related duties, roles, and responsibilities are assigned to designated personnel; and"
"","77","","","","","","c","personnel are adequately trained to carry out their assigned information security- related duties, roles, and responsibilities."
"25","78","2","AT","Awareness and Training","AT.L2-3.2.3","Insider Threat Awareness","a","potential indicators associated with insider threats are identified; and"
"","79","","","","","","b","security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees."
"26","80","2","AU","AUDIT AND ACCOUNTABILITY","AU.L2-3.3.1","System Auditing","a","audit logs needed (i.e., event types to be logged) to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity are specified;"
"","81","","","","","","b","the content of audit records needed to support monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity is defined;"
"","82","","","","","","c","audit records are created (generated);"
"","83","","","","","","d","audit records, once created, contain the defined content;"
"","84","","","","","","e","retention requirements for audit records are defined; and"
"","85","","","","","","f","audit records are retained as defined."
"27","86","2","AU","Audit and Accountability","AU.L2-3.3.2","User Accountability","a","the content of the audit records needed to support the ability to uniquely trace users to their actions is defined; and"
"","87","","","","","","b","audit records, once created, contain the defined content."
"28","88","2","AU","Audit and Accountability","AU.L2-3.3.3","Event Review","a","a process for determining when to review logged events is defined;"
"","89","","","","","","b","event types being logged are reviewed in accordance with the defined review process; and"
"","90","","","","","","c","event types being logged are updated based on the review."
"29","91","2","AU","Audit and Accountability","AU.L2-3.3.4","Audit Failure Alerting","a","personnel or roles to be alerted in the event of an audit logging process failure are identified;"
"","92","","","","","","b","types of audit logging process failures for which alert will be generated are defined; and"
"","93","","","","","","c","identified personnel or roles are alerted in the event of an audit logging process failure."
"30","94","2","AU","Audit and Accountability","AU.L2-3.3.5","Audit Correlation","a","audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity are defined; and"
"","95","","","","","","b","defined audit record review, analysis, and reporting processes are correlated."
"31","96","2","AU","Audit and Accountability","AU.L2-3.3.6","Reduction & Reporting","a","an audit record reduction capability that supports on-demand analysis is provided; and"
"","97","","","","","","b","a report generation capability that supports on-demand reporting is provided."
"32","98","2","AU","Audit and Accountability","AU.L2-3.3.7","Authoritative Time Source","a","internal system clocks are used to generate time stamps for audit records;"
"","99","","","","","","b","an authoritative source with which to compare and synchronize internal system clocks is specified; and"
"","100","","","","","","c","internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source."
"33","101","2","AU","Audit and Accountability","AU.L2-3.3.8","Audit Protection","a","audit information is protected from unauthorized access;"
"","102","","","","","","b","audit information is protected from unauthorized modification;"
"","103","","","","","","c","audit information is protected from unauthorized deletion;"
"","104","","","","","","d","audit logging tools are protected from unauthorized access;"
"","105","","","","","","e","audit logging tools are protected from unauthorized modification; and"
"","106","","","","","","f","audit logging tools are protected from unauthorized deletion."
"34","107","2","AU","Audit and Accountability","AU.L2-3.3.9","Audit Management","a","a subset of privileged users granted access to manage audit logging functionality is defined; and"
"","108","","","","","","b","management of audit logging functionality is limited to the defined subset of privileged users."
"35","109","2","CM","CONFIGURATION MANAGEMENT","CM.L2-3.4.1","System Baselining","a","a baseline configuration is established;"
"","110","","","","","","b","the baseline configuration includes hardware, software, firmware, and documentation;"
"","111","","","","","","c","the baseline configuration is maintained (reviewed and updated) throughout the system development life cycle;"
"","112","","","","","","d","a system inventory is established;"
"","113","","","","","","e","the system inventory includes hardware, software, firmware, and documentation; and"
"","114","","","","","","f","the inventory is maintained (reviewed and updated) throughout the system development life cycle."
"36","115","2","CM","Configuration Management","CM.L2-3.4.2","Security Configuration Enforcement","a","security configuration settings for information technology products employed in the system are established and included in the baseline configuration; and"
"","116","","","","","","b","security configuration settings for information technology products employed in the system are enforced."
"37","117","2","CM","Configuration Management","CM.L2-3.4.3","System Change Management","a","changes to the system are tracked;"
"","118","","","","","","b","changes to the system are reviewed;"
"","119","","","","","","c","changes to the system are approved or disapproved; and"
